Unnamed: 0,Condition,Commonness Score,Link,Symptoms
0,Common Cold,6,https://www.mayoclinic.org/diseases-conditions/common-cold/symptoms-causes/syc-20351605,"Runny or stuffy nose, Sore or scratchy throat, Cough, Sneezing, Generally feeling unwell, Slight body aches or a mild headache, Low-grade fever"
1,Seasonal Allergies,6,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,"Sneezing, Itching of the nose, eyes or roof of the mouth, Runny, stuffy nose, Watery, red or swollen eyes (conjunctivitis)"
2,Acne,5,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,"Whiteheads (closed plugged pores), Blackheads (open plugged pores), Small red, tender bumps (papules), Pimples (pustules), which are papules with pus at their tips , Large, solid, painful lumps under the skin (nodules), Painful, pus-filled lumps under the skin (cystic lesions)"
3,Anxiety Disorders,4,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,"Feeling nervous, restless or tense, Having a sense of impending danger, panic or doom, Having an increased heart rate, Breathing rapidly (hyperventilation), Sweating, Trembling, Feeling weak or tired, Trouble concentrating or thinking about anything other than the present worry, Having trouble sleeping, Experiencing gastrointestinal (GI) problems, Having difficulty controlling worry, Having the urge to avoid things that trigger anxiety"
4,Depression,4,https://www.mayoclinic.org/diseases-conditions/depression/symptoms-causes/syc-20356007,"Feelings of sadness, tearfulness, emptiness or hopelessness, Angry outbursts, irritability or frustration, even over small matters, Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports, Sleep disturbances, including insomnia or sleeping too much, Tiredness and lack of energy, so even small tasks take extra effort, Reduced appetite and weight loss or increased cravings for food and weight gain, Anxiety, agitation or restlessness, Slowed thinking, speaking or body movements, Feelings of worthlessness or guilt, fixating on past failures or self-blame, Trouble thinking, concentrating, making decisions and remembering things, Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide, Unexplained physical problems, such as back pain or headaches"
5,High Blood Pressure (Hypertension),5,https://www.mayoclinic.org/diseases-conditions/high-blood-pressure/symptoms-causes/syc-20373410,"Headaches, Shortness of breath, Nosebleeds"
7,Type 2 Diabetes,4,https://www.mayoclinic.org/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193,"Increased thirst, Frequent urination, Increased hunger, Unintended weight loss, Fatigue, Blurred vision, Slow-healing sores, Frequent infections, Numbness or tingling in the hands or feet, Areas of darkened skin, usually in the armpits and neck"
8,Asthma,5,https://www.mayoclinic.org/diseases-conditions/asthma/symptoms-causes/syc-20369653,"Shortness of breath, Chest tightness or pain, Wheezing when exhaling, which is a common sign of asthma in children, Trouble sleeping caused by shortness of breath, coughing or wheezing, Coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu"
10,Osteoarthritis,5,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,"Pain Affected joints might hurt during or after movement, Stiffness Joint stiffness might be most noticeable upon awakening or after being inactive, Tenderness Your joint might feel tender when you apply light pressure to or near it, Loss of flexibility You might not be able to move your joint through its full range of motion, Grating sensation You might feel a grating sensation when you use the joint, and you might hear popping or crackling, Bone spurs These extra bits of bone, which feel like hard lumps, can form around the affected joint, Swelling This might be caused by soft tissue inflammation around the joint"
12,Influenza (Flu),6,https://www.mayoclinic.org/diseases-conditions/flu/symptoms-causes/syc-20351719,"Fever, Aching muscles, Chills and sweats, Headache, Dry, persistent cough, Shortness of breath, Tiredness and weakness, Runny or stuffy nose, Sore throat, Eye pain, Vomiting and diarrhea, but this is more common in children than adults"
13,COPD (Chronic Obstructive Pulmonary Disease),4,https://www.mayoclinic.org/diseases-conditions/copd/symptoms-causes/syc-20353679,"Shortness of breath, especially during physical activities, Wheezing, Chest tightness, A chronic cough that may produce mucus (sputum) that may be clear, white, yellow or greenish, Frequent respiratory infections, Lack of energy, Unintended weight loss (in later stages), Swelling in ankles, feet or legs"
14,Heart Disease,5,https://www.mayoclinic.org/diseases-conditions/heart-disease/symptoms-causes/syc-20353118,"Chest pain, chest tightness, chest pressure and chest discomfort (angina), Shortness of breath, Pain in the neck, jaw, throat, upper belly area or back, Pain, numbness, weakness or coldness in the legs or arms if the blood vessels in those body areas are narrowed"
15,Cancer,3,https://www.mayoclinic.org/diseases-conditions/cancer/symptoms-causes/syc-20370588,"Fatigue, Lump or area of thickening that can be felt under the skin, Weight changes, including unintended loss or gain, Skin changes, such as yellowing, darkening or redness of the skin, sores that won't heal, or changes to existing moles, Changes in bowel or bladder habits, Persistent cough or trouble breathing, Difficulty swallowing, Hoarseness, Persistent indigestion or discomfort after eating, Persistent, unexplained muscle or joint pain, Persistent, unexplained fevers or night sweats, Unexplained bleeding or bruising"
16,GERD (Gastroesophageal Reflux Disease),4,https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940,"A burning sensation in your chest (heartburn), usually after eating, which might be worse at night or while lying down, Backwash (regurgitation) of food or sour liquid, Upper abdominal or chest pain, Trouble swallowing (dysphagia), Sensation of a lump in your throat"
17,Insomnia,4,https://www.mayoclinic.org/diseases-conditions/insomnia/symptoms-causes/syc-20355167,"Difficulty falling asleep at night, Waking up during the night, Waking up too early, Not feeling well-rested after a night's sleep, Daytime tiredness or sleepiness, Irritability, depression or anxiety, Difficulty paying attention, focusing on tasks or remembering, Increased errors or accidents, Ongoing worries about sleep"
18,Chronic Kidney Disease,4,https://www.mayoclinic.org/diseases-conditions/chronic-kidney-disease/symptoms-causes/syc-20354521,"Nausea, Vomiting, Loss of appetite, Fatigue and weakness, Sleep problems, Urinating more or less, Decreased mental sharpness, Muscle cramps, Swelling of feet and ankles, Dry, itchy skin, High blood pressure (hypertension) that's difficult to control, Shortness of breath, if fluid builds up in the lungs, Chest pain, if fluid builds up around the lining of the heart"
19,Irritable Bowel Syndrome (IBS),4,https://www.mayoclinic.org/diseases-conditions/irritable-bowel-syndrome/symptoms-causes/syc-20360016,"Abdominal pain, cramping or bloating that is related to passing a bowel movement, Changes in appearance of bowel movement, Changes in how often you are having a bowel movement"
20,Psoriasis,4,https://www.mayoclinic.org/diseases-conditions/psoriasis/symptoms-causes/syc-20355840,"A patchy rash that varies widely in how it looks from person to person, ranging from spots of dandruff-like scaling to major eruptions over much of the body, Rashes that vary in color, tending to be shades of purple with gray scale on brown or Black skin and pink or red with silver scale on white skin, Small scaling spots (commonly seen in children), Dry, cracked skin that may bleed, Itching, burning or soreness, Cyclic rashes that flare for a few weeks or months and then subside"
21,Eczema,4,https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273#:~:text=Atopic%20dermatitis%20(eczema%20is%20a,"Dry, cracked skin, Itchiness (pruritus), Rash on swollen skin that varies in color depending on your skin color, Small, raised bumps, on brown or Black skin, Oozing and crusting, Thickened skin, Darkening of the skin around the eyes, Raw, sensitive skin from scratching"
22,Sinusitis,4,https://www.mayoclinic.org/diseases-conditions/chronic-sinusitis/symptoms-causes/syc-20351661,"Nasal inflammation, Thick, discolored discharge from the nose (runny nose), Drainage down the back of the throat (postnasal drainage), Blocked or stuffy (congested) nose causing difficulty breathing through your nose, Pain, tenderness and swelling around your eyes, cheeks, nose or forehead, Reduced sense of smell and taste"
23,Migraine,4,https://www.mayoclinic.org/diseases-conditions/migraine-headache/symptoms-causes/syc-20360201,"Constipation, Mood changes, from depression to euphoria, Food cravings, Neck stiffness, Increased urination, Fluid retention, Frequent yawning"
24,Urinary Tract Infections (UTIs),5,https://www.mayoclinic.org/diseases-conditions/urinary-tract-infection/symptoms-causes/syc-20353447,"A strong urge to urinate that doesn't go away, A burning feeling when urinating, Urinating often, and passing small amounts of urine, Urine that looks cloudy, Urine that appears red, bright pink or cola-colored — signs of blood in the urine, Strong-smelling urine, Pelvic pain, in women — especially in the center of the pelvis and around the area of the pubic bone"
25,Anemia,5,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,"Tiredness, Weakness, Shortness of breath, Pale or yellowish skin, which might be more obvious on white skin than on Black or brown skin, Irregular heartbeat, Dizziness or lightheadedness, Chest pain, Cold hands and feet, Headaches"
26,Alzheimer's Disease,4,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447,"Repeat statements and questions over and over, Forget conversations, appointments or events, Misplace items, often putting them in places that don't make sense, Get lost in places they used to know well, Eventually forget the names of family members and everyday objects, Have trouble finding the right words for objects, expressing thoughts or taking part in conversations"
28,Rheumatoid Arthritis,4,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/symptoms-causes/syc-20353648,"Tender, warm, swollen joints, Joint stiffness that is usually worse in the mornings and after inactivity, Fatigue, fever and loss of appetite"
29,Osteoporosis,4,https://www.mayoclinic.org/diseases-conditions/osteoporosis/symptoms-causes/syc-20351968,"Back pain, caused by a fractured or collapsed vertebra, Loss of height over time, A stooped posture, A bone that breaks much more easily than expected"
30,Gallstones,4,https://www.mayoclinic.org/diseases-conditions/gallstones/symptoms-causes/syc-20354214,"Sudden and rapidly intensifying pain in the upper right portion of your abdomen, Sudden and rapidly intensifying pain in the center of your abdomen, just below your breastbone, Back pain between your shoulder blades, Pain in your right shoulder, Nausea or vomiting"
31,Hearing Loss,4,https://www.mayoclinic.org/diseases-conditions/hearing-loss/symptoms-causes/syc-20373072,"Muffling of speech and other sounds, Trouble understanding words, especially when in a crowd or a noisy place, Trouble hearing the letters of the alphabet that aren't vowels, Often asking others to speak more slowly, clearly and loudly, Needing to turn up the volume of the television or radio, Staying clear of some social settings, Being bothered by background noise, Ringing in the ears, known as tinnitus"
